pcs_rider_path,first_name,last_name,country_code,pcs_name,team,age,date_of_birth,wins_total,wins_season,racedays_season,top3s_season,top10s_season,pcs_points_season,season,profile_url,fetched_at
kaden-hopkins,Kaden,Hopkins,BM,Kaden Hopkins,Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Team,26,2000-03-24,5,0,10,2,5,62.0,2026,https://www.procyclingstats.com/rider/kaden-hopkins,2026-09-22T17:08:46
nicholas-narraway,Nicholas,Narraway,BM,Nicholas Narraway,Competitive Edge Racing,24,2002-06-28,3,2,9,2,3,52.0,2026,https://www.procyclingstats.com/rider/nicholas-narraway,2026-09-22T17:08:46
henrique-da-silva-avancini,Henrique da Silva,Avancini,BR,Henrique da Silva Avancini,Localiza Meoo / Swift Pro Cycling,37,1989-03-30,1,1,22,2,7,55.0,2026,https://www.procyclingstats.com/rider/henrique-da-silva-avancini,2026-09-22T17:08:46
derrick-chavarria,Derrick,Chavarria,BZ,Derrick Chavarria,China Meitan Cycling Team,23,2003-08-17,1,1,6,2,2,35.0,2026,https://www.procyclingstats.com/rider/derrick-chavarria,2026-09-22T17:08:46
pier-andre-cote,Pier-André,Côté,CA,Pier-André Côté,NSN Cycling Team,29,1997-04-24,3,0,45,1,6,114.0,2026,https://www.procyclingstats.com/rider/pier-andre-cote,2026-09-22T17:08:46
derek-gee,Derek,Gee-West,CA,Derek Gee-West,Lidl - Trek,29,1997-08-03,7,1,67,2,12,610.0,2026,https://www.procyclingstats.com/rider/derek-gee,2026-09-22T17:08:46
hugo-houle,Hugo,Houle,CA,Hugo Houle,Alpecin - Premier Tech,35,1990-09-27,3,0,42,0,1,27.0,2026,https://www.procyclingstats.com/rider/hugo-houle,2026-09-22T17:08:46
michael-leonard1,Michael,Leonard,CA,Michael Leonard,EF Education - EasyPost,22,2004-03-26,1,0,49,0,1,97.0,2026,https://www.procyclingstats.com/rider/michael-leonard1,2026-09-22T17:08:46
michael-woods,Michael,Woods,CA,Michael Woods,,39,1986-10-12,16,0,3,0,1,22.0,2026,https://www.procyclingstats.com/rider/michael-woods,2026-09-22T17:08:46
nickolas-zukowsky,Nickolas,Zukowsky,CA,Nickolas Zukowsky,Pinarello Q36.5 Pro Cycling Team,28,1998-06-03,1,0,57,1,1,110.0,2026,https://www.procyclingstats.com/rider/nickolas-zukowsky,2026-09-22T17:08:46
stefan-bissegger,Stefan,Bissegger,CH,Stefan Bissegger,Decathlon CMA CGM Team,28,1998-09-13,7,0,42,1,3,121.0,2026,https://www.procyclingstats.com/rider/stefan-bissegger,2026-09-22T17:08:46
fabio-christen,Fabio,Christen,CH,Fabio Christen,Pinarello Q36.5 Pro Cycling Team,24,2002-06-29,2,0,46,1,4,86.0,2026,https://www.procyclingstats.com/rider/fabio-christen,2026-09-22T17:08:46
jan-christen,Jan,Christen,CH,Jan Christen,UAE Team Emirates - XRG,22,2004-06-26,10,5,66,8,15,770.0,2026,https://www.procyclingstats.com/rider/jan-christen,2026-09-22T17:08:46
marc-hirschi,Marc,Hirschi,CH,Marc Hirschi,Tudor Pro Cycling Team,28,1998-08-24,24,0,49,2,6,292.0,2026,https://www.procyclingstats.com/rider/marc-hirschi,2026-09-22T17:08:46
stefan-kung,Stefan,Küng,CH,Stefan Küng,Tudor Pro Cycling Team,32,1993-11-16,32,2,36,2,7,247.0,2026,https://www.procyclingstats.com/rider/stefan-kung,2026-09-22T17:08:46
mauro-schmid,Mauro,Schmid,CH,Mauro Schmid,Team Jayco AlUla,26,1999-12-04,14,5,60,14,22,1338.0,2026,https://www.procyclingstats.com/rider/mauro-schmid,2026-09-22T17:08:46
vicente-rojas,Vicente,Rojas,CL,Vicente Rojas,Bardiani CSF 7 Saber,24,2002-04-30,1,1,51,1,1,55.0,2026,https://www.procyclingstats.com/rider/vicente-rojas,2026-09-22T17:08:46
you-li,You,Li,CN,You Li,XDS Astana Development Team,21,2004-10-09,0,0,9,0,0,0,2026,https://www.procyclingstats.com/rider/you-li,2026-09-22T17:08:46
santiago-buitrago-sanchez,Santiago,Buitrago,CO,Santiago Buitrago,Bahrain - Victorious,26,1999-09-26,9,1,62,4,9,596.0,2026,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez,2026-09-22T17:08:46
sergio-higuita,Sergio,Higuita,CO,Sergio Higuita,XDS Astana Team,29,1997-08-01,10,0,52,2,7,333.0,2026,https://www.procyclingstats.com/rider/sergio-higuita,2026-09-22T17:08:46
wilmar-paredes,Wilmar Andres,Paredes,CO,Wilmar Andres Paredes,Team Medellín - EPM,30,1996-04-27,0,0,3,0,0,20.0,2026,https://www.procyclingstats.com/rider/wilmar-paredes,2026-09-22T17:08:46
nairo-quintana,Nairo,Quintana,CO,Nairo Quintana,Movistar Team,36,1990-02-04,53,2,51,2,7,277.0,2026,https://www.procyclingstats.com/rider/nairo-quintana,2026-09-22T17:08:46
brandon-smith-rivera-vargas,Brandon Smith,Rivera,CO,Brandon Smith Rivera,Netcompany INEOS,30,1996-03-21,3,1,40,3,3,138.0,2026,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas,2026-09-22T17:08:46
harold-tejada,Harold,Tejada,CO,Harold Tejada,XDS Astana Team,29,1997-04-27,2,1,74,4,16,705.0,2026,https://www.procyclingstats.com/rider/harold-tejada,2026-09-22T17:08:46
luis-daniel-oses,Luis Daniel,Oses,CR,Luis Daniel Oses,7C - Economy - Hyundai,24,2001-11-19,0,0,2,0,2,0,2026,https://www.procyclingstats.com/rider/luis-daniel-oses,2026-09-22T17:08:46
andreas-miltiadis,Andreas,Miltiadis,CY,Andreas Miltiadis,Quick Pro Team,30,1996-08-30,18,1,34,3,4,71.0,2026,https://www.procyclingstats.com/rider/andreas-miltiadis,2026-09-22T17:08:46
pavel-novak,Pavel,Novák,CZ,Pavel Novák,Movistar Team,21,2004-12-03,0,0,46,0,1,41.0,2026,https://www.procyclingstats.com/rider/pavel-novak,2026-09-22T17:08:46
jakub-otruba,Jakub,Otruba,CZ,Jakub Otruba,Caja Rural - Seguros RGA,28,1998-01-30,2,0,59,2,3,58.0,2026,https://www.procyclingstats.com/rider/jakub-otruba,2026-09-22T17:08:46
mathias-vacek,Mathias,Vacek,CZ,Mathias Vacek,Lidl - Trek,24,2002-06-12,11,5,64,7,16,584.0,2026,https://www.procyclingstats.com/rider/mathias-vacek,2026-09-22T17:08:46
marco-brenner,Marco,Brenner,DE,Marco Brenner,Tudor Pro Cycling Team,24,2002-08-27,4,2,59,4,12,675.0,2026,https://www.procyclingstats.com/rider/marco-brenner,2026-09-22T17:08:46
nico-denz,Nico,Denz,DE,Nico Denz,Red Bull - BORA - hansgrohe,32,1994-02-15,7,0,72,1,1,116.0,2026,https://www.procyclingstats.com/rider/nico-denz,2026-09-22T17:08:46
felix-engelhardt,Felix,Engelhardt,DE,Felix Engelhardt,Team Jayco AlUla,26,2000-08-19,4,1,70,1,4,236.0,2026,https://www.procyclingstats.com/rider/felix-engelhardt,2026-09-22T17:08:46
florian-lipowitz,Florian,Lipowitz,DE,Florian Lipowitz,Red Bull - BORA - hansgrohe,26,2000-09-21,6,3,49,11,22,1154.0,2026,https://www.procyclingstats.com/rider/florian-lipowitz,2026-09-22T17:08:46
maximilian-schachmann,Maximilian,Schachmann,DE,Maximilian Schachmann,Soudal Quick-Step,32,1994-01-09,16,0,41,0,6,190.0,2026,https://www.procyclingstats.com/rider/maximilian-schachmann,2026-09-22T17:08:46
georg-zimmermann,Georg,Zimmermann,DE,Georg Zimmermann,Lotto Intermarché,28,1997-10-11,5,1,62,1,2,353.0,2026,https://www.procyclingstats.com/rider/georg-zimmermann,2026-09-22T17:08:46
kasper-asgreen,Kasper,Asgreen,DK,Kasper Asgreen,EF Education - EasyPost,31,1995-02-08,14,0,55,0,3,170.0,2026,https://www.procyclingstats.com/rider/kasper-asgreen,2026-09-22T17:08:46
mikkel-bjerg,Mikkel,Bjerg,DK,Mikkel Bjerg,UAE Team Emirates - XRG,27,1998-11-03,1,0,57,1,4,116.0,2026,https://www.procyclingstats.com/rider/mikkel-bjerg,2026-09-22T17:08:46
anthon-charmig,Anthon,Charmig,DK,Anthon Charmig,Uno-X Mobility,28,1998-03-25,2,1,52,4,8,420.0,2026,https://www.procyclingstats.com/rider/anthon-charmig,2026-09-22T17:08:46
mikkel-honore,Mikkel Frølich,Honoré,DK,Mikkel Frølich Honoré,EF Education - EasyPost,29,1997-01-21,2,0,31,2,3,149.0,2026,https://www.procyclingstats.com/rider/mikkel-honore,2026-09-22T17:08:46
soren-kragh-andersen,Søren,Kragh Andersen,DK,Søren Kragh Andersen,Lidl - Trek,32,1994-08-10,10,0,41,0,9,301.0,2026,https://www.procyclingstats.com/rider/soren-kragh-andersen,2026-09-22T17:08:46
andreas-kron,Andreas,Kron,DK,Andreas Kron,Uno-X Mobility,28,1998-06-01,4,0,61,0,8,348.0,2026,https://www.procyclingstats.com/rider/andreas-kron,2026-09-22T17:08:46
mads-pedersen,Mads,Pedersen,DK,Mads Pedersen,Lidl - Trek,30,1995-12-18,61,1,44,4,20,869.0,2026,https://www.procyclingstats.com/rider/mads-pedersen,2026-09-22T17:08:46
michael-valgren-andersen,Michael,Valgren,DK,Michael Valgren,EF Education - EasyPost,34,1992-02-07,10,2,62,2,4,349.0,2026,https://www.procyclingstats.com/rider/michael-valgren-andersen,2026-09-22T17:08:46
kohath-baron,Kohath,Baron,DM,Kohath Baron,,23,2002-10-10,2,1,1,1,1,15.0,2026,https://www.procyclingstats.com/rider/kohath-baron,2026-09-22T17:08:46
oussama-abdellah-mimouni,Oussama Abdellah,Mimouni,DZ,Oussama Abdellah Mimouni,Madar Pro Cycling Team,23,2003-03-27,0,0,2,0,2,4.0,2026,https://www.procyclingstats.com/rider/oussama-abdellah-mimouni,2026-09-22T17:08:46
jefferson-alexander-cepeda,Jefferson Alexander,Cepeda,EC,Jefferson Alexander Cepeda,EF Education - EasyPost,28,1998-06-16,4,0,70,0,6,182.0,2026,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda,2026-09-22T17:08:46
jefferson-cepeda-hernandez,Jefferson Alveiro,Cepeda,EC,Jefferson Alveiro Cepeda,Movistar Team,30,1996-03-02,7,0,62,0,5,253.0,2026,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez,2026-09-22T17:08:46
jhonatan-narvaez,Jhonatan,Narváez,EC,Jhonatan Narváez,UAE Team Emirates - XRG,29,1997-03-04,19,4,33,5,10,398.0,2026,https://www.procyclingstats.com/rider/jhonatan-narvaez,2026-09-22T17:08:46
madis-mihkels,Madis,Mihkels,EE,Madis Mihkels,EF Education - EasyPost,23,2003-05-31,3,0,58,1,10,167.0,2026,https://www.procyclingstats.com/rider/madis-mihkels,2026-09-22T17:08:46
amanuel-ghebreigzabhier,Amanuel,Ghebreigzabhier,ER,Amanuel Ghebreigzabhier,Lidl - Trek,32,1994-08-17,7,1,63,1,1,60.0,2026,https://www.procyclingstats.com/rider/amanuel-ghebreigzabhier,2026-09-22T17:08:46
biniam-girmay,Biniam,Girmay,ER,Biniam Girmay,NSN Cycling Team,26,2000-04-02,19,3,57,7,16,679.0,2026,https://www.procyclingstats.com/rider/biniam-girmay,2026-09-22T17:08:46
merhawi-kudus,Merhawi,Kudus,ER,Merhawi Kudus,Burgos Burpellet BH,32,1994-01-23,7,0,56,0,5,26.0,2026,https://www.procyclingstats.com/rider/merhawi-kudus,2026-09-22T17:08:46
henok-mulubrhan,Henok,Mulubrhan,ER,Henok Mulubrhan,XDS Astana Team,26,1999-11-11,14,2,74,12,28,487.0,2026,https://www.procyclingstats.com/rider/henok-mulubrhan,2026-09-22T17:08:46
natnael-tesfatsion,Natnael,Tesfatsion,ER,Natnael Tesfatsion,Movistar Team,27,1999-05-23,8,2,57,5,21,732.0,2026,https://www.procyclingstats.com/rider/natnael-tesfatsion,2026-09-22T17:08:46
igor-arrieta-lizarraga,Igor,Arrieta,ES,Igor Arrieta,UAE Team Emirates - XRG,23,2002-12-08,2,1,74,6,17,638.0,2026,https://www.procyclingstats.com/rider/igor-arrieta-lizarraga,2026-09-22T17:08:46
juan-ayuso-pesquera,Juan,Ayuso,ES,Juan Ayuso,Lidl - Trek,24,2002-09-16,18,2,44,7,14,862.0,2026,https://www.procyclingstats.com/rider/juan-ayuso-pesquera,2026-09-22T17:08:46
markel-beloki,Markel,Beloki,ES,Markel Beloki,EF Education - EasyPost,21,2005-07-27,2,2,68,3,8,329.0,2026,https://www.procyclingstats.com/rider/markel-beloki,2026-09-22T17:08:46
marcel-camprubi,Marcel,Camprubí,ES,Marcel Camprubí,Pinarello Q36.5 Pro Cycling Team,25,2001-09-15,1,1,63,2,7,254.0,2026,https://www.procyclingstats.com/rider/marcel-camprubi,2026-09-22T17:08:46
raul-garcia-pierna,Raúl,García Pierna,ES,Raúl García Pierna,Movistar Team,25,2001-02-23,3,1,76,3,9,366.0,2026,https://www.procyclingstats.com/rider/raul-garcia-pierna,2026-09-22T17:08:46
enric-mas,Enric,Mas,ES,Enric Mas,Movistar Team,31,1995-01-07,8,2,63,5,11,850.0,2026,https://www.procyclingstats.com/rider/enric-mas,2026-09-22T17:08:46
ivan-romeo,Iván,Romeo,ES,Iván Romeo,Movistar Team,23,2003-08-16,6,3,61,4,14,596.0,2026,https://www.procyclingstats.com/rider/ivan-romeo,2026-09-22T17:08:46
carlos-verona,Carlos,Verona,ES,Carlos Verona,Lidl - Trek,33,1992-11-04,2,0,59,1,1,197.0,2026,https://www.procyclingstats.com/rider/carlos-verona,2026-09-22T17:08:46
bruno-armirail,Bruno,Armirail,FR,Bruno Armirail,Team Visma | Lease a Bike,32,1994-04-11,4,0,73,1,3,211.0,2026,https://www.procyclingstats.com/rider/bruno-armirail,2026-09-22T17:08:46
alex-baudin,Alex,Baudin,FR,Alex Baudin,EF Education - EasyPost,25,2001-05-25,3,1,62,2,12,675.0,2026,https://www.procyclingstats.com/rider/alex-baudin,2026-09-22T17:08:46
jordan-jegat,Jordan,Jegat,FR,Jordan Jegat,TotalEnergies,27,1999-06-07,1,1,47,4,13,572.0,2026,https://www.procyclingstats.com/rider/jordan-jegat,2026-09-22T17:08:46
jordan-labrosse,Jordan,Labrosse,FR,Jordan Labrosse,Decathlon CMA CGM Team,24,2002-09-15,0,0,51,0,4,101.0,2026,https://www.procyclingstats.com/rider/jordan-labrosse,2026-09-22T17:08:46
valentin-paret-peintre,Valentin,Paret-Peintre,FR,Valentin Paret-Peintre,Soudal Quick-Step,25,2001-01-14,3,0,79,3,10,495.0,2026,https://www.procyclingstats.com/rider/valentin-paret-peintre,2026-09-22T17:08:46
nicolas-prodhomme,Nicolas,Prodhomme,FR,Nicolas Prodhomme,Decathlon CMA CGM Team,29,1997-02-01,6,0,57,0,0,221.0,2026,https://www.procyclingstats.com/rider/nicolas-prodhomme,2026-09-22T17:08:46
paul-seixas,Paul,Seixas,FR,Paul Seixas,Decathlon CMA CGM Team,19,2006-09-24,7,7,47,15,26,2165.0,2026,https://www.procyclingstats.com/rider/paul-seixas,2026-09-22T17:08:46
pavel-sivakov,Pavel,Sivakov,FR,Pavel Sivakov,UAE Team Emirates - XRG,29,1997-07-11,7,0,53,0,0,52.0,2026,https://www.procyclingstats.com/rider/pavel-sivakov,2026-09-22T17:08:46
mark-donovan,Mark,Donovan,GB,Mark Donovan,Pinarello Q36.5 Pro Cycling Team,27,1999-04-03,1,0,73,1,6,303.0,2026,https://www.procyclingstats.com/rider/mark-donovan,2026-09-22T17:08:46
oscar-onley,Oscar,Onley,GB,Oscar Onley,Netcompany INEOS,23,2002-10-13,3,1,53,5,13,646.0,2026,https://www.procyclingstats.com/rider/oscar-onley,2026-09-22T17:08:46
finlay-pickering,Finlay,Pickering,GB,Finlay Pickering,Team Jayco AlUla,23,2003-01-27,0,0,61,0,6,120.0,2026,https://www.procyclingstats.com/rider/finlay-pickering,2026-09-22T17:08:46
tom-pidcock,Tom,Pidcock,GB,Tom Pidcock,Pinarello Q36.5 Pro Cycling Team,27,1999-07-30,15,5,49,15,25,1536.0,2026,https://www.procyclingstats.com/rider/tom-pidcock,2026-09-22T17:08:46
james-shaw,James,Shaw,GB,James Shaw,EF Education - EasyPost,30,1996-06-13,0,0,75,1,4,94.0,2026,https://www.procyclingstats.com/rider/james-shaw,2026-09-22T17:08:46
callum-thornley,Callum,Thornley,GB,Callum Thornley,Red Bull - BORA - hansgrohe,23,2003-08-05,1,0,73,2,4,207.0,2026,https://www.procyclingstats.com/rider/callum-thornley,2026-09-22T17:08:46
alfred-wright,Fred,Wright,GB,Fred Wright,Pinarello Q36.5 Pro Cycling Team,27,1999-06-13,2,1,49,3,6,231.0,2026,https://www.procyclingstats.com/rider/alfred-wright,2026-09-22T17:08:46
adam-yates,Adam,Yates,GB,Adam Yates,UAE Team Emirates - XRG,34,1992-08-07,34,2,51,5,10,564.0,2026,https://www.procyclingstats.com/rider/adam-yates,2026-09-22T17:08:46
nikiforos-arvanitou,Nikiforos,Arvanitou,GR,Nikiforos Arvanitou,Team United Shipping,23,2003-01-13,3,1,31,4,8,57.0,2026,https://www.procyclingstats.com/rider/nikiforos-arvanitou,2026-09-22T17:08:46
manuel-rodas,Manuel,Rodas,GT,Manuel Rodas,Decorabaños - Bantrab,42,1984-07-05,13,0,2,1,2,8.0,2026,https://www.procyclingstats.com/rider/manuel-rodas,2026-09-22T17:08:46
juan-mardoqueo-vasquez-vasquez,Juan Mardoqueo,Vásquez,GT,Juan Mardoqueo Vásquez,Hino One La Red Suzuki,31,1995-06-19,3,0,1,0,1,0,2026,https://www.procyclingstats.com/rider/juan-mardoqueo-vasquez-vasquez,2026-09-22T17:08:46
gil-landim-gomes,Gil Landim,Gomes,GW,Gil Landim Gomes,,29,1997-08-01,0,0,3,2,2,19.0,2026,https://www.procyclingstats.com/rider/gil-landim-gomes,2026-09-22T17:08:46
fredd-matute,Fredd,Matute,HN,Fredd Matute,4WD Rent a Car - Facatativa,40,1985-10-26,1,0,3,0,0,10.0,2026,https://www.procyclingstats.com/rider/fredd-matute,2026-09-22T17:08:46
attila-valter,Attila,Valter,HU,Attila Valter,Bahrain - Victorious,28,1998-06-12,7,0,62,1,4,121.0,2026,https://www.procyclingstats.com/rider/attila-valter,2026-09-22T17:08:46
ben-healy,Ben,Healy,IE,Ben Healy,EF Education - EasyPost,26,2000-09-11,10,0,47,0,4,247.0,2026,https://www.procyclingstats.com/rider/ben-healy,2026-09-22T17:08:46
jamie-meehan,Jamie,Meehan,IE,Jamie Meehan,Cofidis,23,2003-09-06,0,0,49,2,12,246.0,2026,https://www.procyclingstats.com/rider/jamie-meehan,2026-09-22T17:08:46
ryan-mullen,Ryan,Mullen,IE,Ryan Mullen,NSN Cycling Team,32,1994-08-07,12,1,59,1,2,77.0,2026,https://www.procyclingstats.com/rider/ryan-mullen,2026-09-22T17:08:46
darren-rafferty,Darren,Rafferty,IE,Darren Rafferty,EF Education - EasyPost,23,2003-07-01,1,0,81,1,1,68.0,2026,https://www.procyclingstats.com/rider/darren-rafferty,2026-09-22T17:08:46
nadav-raisberg,Nadav,Raisberg,IL,Nadav Raisberg,NSN Cycling Team,25,2001-03-29,2,1,53,2,4,59.0,2026,https://www.procyclingstats.com/rider/nadav-raisberg,2026-09-22T17:08:46
alberto-bettiol,Alberto,Bettiol,IT,Alberto Bettiol,XDS Astana Team,32,1993-10-29,9,1,63,1,4,283.0,2026,https://www.procyclingstats.com/rider/alberto-bettiol,2026-09-22T17:08:46
mattia-cattaneo,Mattia,Cattaneo,IT,Mattia Cattaneo,Red Bull - BORA - hansgrohe,35,1990-10-25,4,0,49,1,2,149.0,2026,https://www.procyclingstats.com/rider/mattia-cattaneo,2026-09-22T17:08:46
giulio-ciccone,Giulio,Ciccone,IT,Giulio Ciccone,Lidl - Trek,31,1994-12-20,13,0,52,8,18,809.0,2026,https://www.procyclingstats.com/rider/giulio-ciccone,2026-09-22T17:08:46
lorenzo-finn,Lorenzo Mark,Finn,IT,Lorenzo Mark Finn,Red Bull - BORA - hansgrohe Rookies,19,2006-12-19,3,3,24,3,5,184.0,2026,https://www.procyclingstats.com/rider/lorenzo-finn,2026-09-22T17:08:46
giulio-pellizzari,Giulio,Pellizzari,IT,Giulio Pellizzari,Red Bull - BORA - hansgrohe,22,2003-11-21,7,6,61,15,23,1210.0,2026,https://www.procyclingstats.com/rider/giulio-pellizzari,2026-09-22T17:08:46
davide-piganzoli,Davide,Piganzoli,IT,Davide Piganzoli,Team Visma | Lease a Bike,24,2002-07-08,6,4,63,6,15,881.0,2026,https://www.procyclingstats.com/rider/davide-piganzoli,2026-09-22T17:08:46
christian-scaroni,Christian,Scaroni,IT,Christian Scaroni,XDS Astana Team,28,1997-10-16,10,3,52,12,27,1265.0,2026,https://www.procyclingstats.com/rider/christian-scaroni,2026-09-22T17:08:46
matteo-trentin,Matteo,Trentin,IT,Matteo Trentin,Tudor Pro Cycling Team,37,1989-08-02,32,0,47,1,12,428.0,2026,https://www.procyclingstats.com/rider/matteo-trentin,2026-09-22T17:08:46
jo-hashikawa,Jo,Hashikawa,JP,Jo Hashikawa,Kinan Racing Team,23,2003-02-06,0,0,4,1,2,17.0,2026,https://www.procyclingstats.com/rider/jo-hashikawa,2026-09-22T17:08:46
anton-kuzmin,Anton,Kuzmin,KZ,Anton Kuzmin,XDS Astana Team,29,1996-11-20,1,0,47,2,2,24.0,2026,https://www.procyclingstats.com/rider/anton-kuzmin,2026-09-22T17:08:46
daniil-marukhin,Daniil,Marukhin,KZ,Daniil Marukhin,Huansheng - Vonoa - Taishan Sport Team,27,1999-02-13,0,0,4,0,1,10.0,2026,https://www.procyclingstats.com/rider/daniil-marukhin,2026-09-22T17:08:46
arthur-kluckers,Arthur,Kluckers,LU,Arthur Kluckers,Tudor Pro Cycling Team,26,2000-03-15,3,1,57,2,4,93.0,2026,https://www.procyclingstats.com/rider/arthur-kluckers,2026-09-22T17:08:46
arno-wallenborn,Arno,Wallenborn,LU,Arno Wallenborn,Team Lotto Kern-Haus Outlet Montabaur,23,2003-04-08,0,0,19,2,3,70.0,2026,https://www.procyclingstats.com/rider/arno-wallenborn,2026-09-22T17:08:46
kristians-belohvosciks,Kristiāns,Belohvoščiks,LV,Kristiāns Belohvoščiks,BIKE AID,24,2002-02-01,1,1,22,4,6,43.0,2026,https://www.procyclingstats.com/rider/kristians-belohvosciks,2026-09-22T17:08:46
emils-liepins,Emīls,Liepiņš,LV,Emīls Liepiņš,Pinarello Q36.5 Pro Cycling Team,33,1992-10-29,5,0,42,0,2,105.0,2026,https://www.procyclingstats.com/rider/emils-liepins,2026-09-22T17:08:46
martins-pluto,Mārtiņš,Pluto,LV,Mārtiņš Pluto,Energus Cycling Team,28,1998-01-13,2,2,6,3,5,89.0,2026,https://www.procyclingstats.com/rider/martins-pluto,2026-09-22T17:08:46
toms-skujins,Toms,Skujiņš,LV,Toms Skujiņš,Lidl - Trek,35,1991-06-15,14,0,53,0,2,165.0,2026,https://www.procyclingstats.com/rider/toms-skujins,2026-09-22T17:08:46
victor-langellotti,Victor,Langellotti,MC,Victor Langellotti,XDS Astana Team,31,1995-06-07,5,2,47,2,2,40.0,2026,https://www.procyclingstats.com/rider/victor-langellotti,2026-09-22T17:08:46
maral-erdene-batmunkh,Maral-Erdene,Batmunkh,MN,Maral-Erdene Batmunkh,,31,1994-10-15,9,0,33,0,2,23.0,2026,https://www.procyclingstats.com/rider/maral-erdene-batmunkh,2026-09-22T17:08:46
alexandre-mayer,Alexandre,Mayer,MU,Alexandre Mayer,Burgos Burpellet BH,28,1998-04-29,6,1,23,1,1,25.0,2026,https://www.procyclingstats.com/rider/alexandre-mayer,2026-09-22T17:08:46
edgar-cadena,Edgar David,Cadena,MX,Edgar David Cadena,Team Storck - MRW Bau,26,2000-08-20,4,2,32,2,8,167.0,2026,https://www.procyclingstats.com/rider/edgar-cadena,2026-09-22T17:08:46
